Key,Value
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द आग के सबसे समान है?","['मम', 'सह', 'पद', 'अग्नि']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द नहीं के सबसे समान है?","['नदी', 'बहि', 'सह', 'न']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द साथ के सबसे समान है?","['सह', 'भाग', 'भाग', 'सह']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द मां के सबसे समान है?","['मातृ', 'मम', 'पथं', 'माता']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द नदी के सबसे समान है?","['नदी', 'कदा', 'पद', 'नदी']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द जंगल के सबसे समान है?","['अंध', 'एकल', 'जनि', 'वन']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द क्षेत्र के सबसे समान है?","['क्षेत्र', 'श्रेष्ठ', 'रात्रि', 'क्षेत्र']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द वानर के सबसे समान है?","['वानरः', 'विना', 'वन', 'वानरः']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द बिना के सबसे समान है?","['विना', 'बहि', 'जनि', 'विना']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द महत्व के सबसे समान है?","['महत्त्व', 'मातृ', 'त्वम', 'महत्त्व']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द भाग के सबसे समान है?","['भाग', 'भाग', 'भाग्य', 'सह']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द निन्दा के सबसे समान है?","['निन्दा', 'निन्दा', 'मित्रा', 'भाग']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द उज्ज्वल के सबसे समान है?","['उज्ज्वल', 'त्वम', 'द्वे', 'निन्दा']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द अज्ञात के सबसे समान है?","['अज्ञात', 'जमातृ', 'अमृता', 'उज्ज्वल']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द हेडलाइट के सबसे समान है?","['हेडलाइट्', 'विलाप', 'तारक', 'भाग']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द सात के सबसे समान है?","['मातृ', 'सह', 'असित', 'निन्दा']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द दुष्टात्मा के सबसे समान है?","['दुष्टात्मा', 'भ्राता', 'द्वारा', 'अज्ञात']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द गंभीर  के सबसे समान है?","['गम्भीरा', 'शरीरा', 'शरीर', 'हेडलाइट्']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द पापों के सबसे समान है?","['पापा', 'पाषाण', 'पथं', 'सप्त']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द अजगर के सबसे समान है?","['अजगर', 'अग्र', 'अधर', 'दुष्टात्मा']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द श्रेष्ठ के सबसे समान है?","['श्रेष्ठ', 'श्रेष्ठः', 'शिष्य', 'गम्भीरा']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द अथर्वा के सबसे समान है?","['अथर्व', 'अर्ध', 'अर्थ', 'पापा']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द शीर्षक के सबसे समान है?","['शीर्षक', 'रक्षक', 'तारक', 'अजगर']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द ओंठ के सबसे समान है?","['अंध', 'अंत', 'बहि', 'श्रेष्ठः']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द अधर्मी के सबसे समान है?","['अधर्मी', 'अर्ध', 'अर्थ', 'अथर्व']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द अतिरिक्त के सबसे समान है?","['अतिरिक्त', 'तारक', 'असित', 'शीर्षक']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द अधिक के सबसे समान है?","['अधिक', 'असित', 'अधर', 'अधर']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द रक्षक के सबसे समान है?","['रक्षक', 'रत्न', 'शीर्षक', 'अधर्मी']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द स्वामी के सबसे समान है?","['स्वामी', 'स्नाना', 'त्वम्', 'अतिरिक्त']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द बलिदान के सबसे समान है?","['बलिदानं', 'बालिका', 'बहि', 'अधिक']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द अध्ययन के सबसे समान है?","['अध्ययनम्\u200c', 'अलग्न', 'संध्या', 'रक्षक']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द पथ के सबसे समान है?","['पद', 'पथं', 'मम', 'स्वामी']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द अनंत के सबसे समान है?","['अंत', 'अंध', 'असित', 'बलिदानं']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द अनानास के सबसे समान है?","['अनास', 'स्नाना', 'पाषाण', 'अध्ययनम्\u200c']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द गैस के सबसे समान है?","['गैस', 'बहि', 'अंध', 'पथं']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द अनुभव के सबसे समान है?","['अनुभव', 'अशुभं', 'अनास', 'अनंतम्']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द भाग्य के सबसे समान है?","['भाग्य', 'राज्य', 'भाग', 'अनास']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द नियंत्रक के सबसे समान है?","['नियन्त्रक', 'मित्रा', 'तारक', 'गैस']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द विलाप के सबसे समान है?","['विलाप', 'विना', 'विजय', 'अनुभव']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द प्रारूपनाम के सबसे समान है?","['प्रारूपनाम', 'प्राकार', 'स्नाना', 'भाग्य']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द शरीर के सबसे समान है?","['शरीर', 'शरीरा', 'करति', 'नियन्त्रक']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द अंत के सबसे समान है?","['अंत', 'अंध', 'असित', 'विलाप']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द परिवार के सबसे समान है?","['परिवार', 'प्राकार', 'पाषाण', 'प्रारूपनाम']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द बालक के सबसे समान है?","['बालकः', 'तारक', 'बालिका', 'शरीर']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द बालिका के सबसे समान है?","['बालिका', 'बालकः', 'तारक', 'अंत']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द तुलना के सबसे समान है?","['तुलना', 'तैलम्', 'विना', 'परिवार']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द प्रलोभन के सबसे समान है?","['प्रलोभन', 'प्रशंसा', 'प्राकार', 'बालकः']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द आशा के सबसे समान है?","['आशा', 'कदा', 'आकाश', 'बालिका']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द समुद्र के सबसे समान है?","['समुद्र', 'अशुद्ध', 'अशुद्धि', 'तुलना']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द जन्म के सबसे समान है?","['जन्म', 'जनि', 'राजन्', 'प्रलोभन']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द विद्रोह के सबसे समान है?","['विद्रोह', 'मित्रा', 'रात्रि', 'आशा']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द पद के सबसे समान है?","['पद', 'मम', 'कदा', 'समुद्र']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द अभियोजन के सबसे समान है?","['अभियोजनम्', 'भोजन', 'युज', 'जन्म']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द वर्णित के सबसे समान है?","['वर्णित', 'करति', 'स्थिर', 'विद्रोह']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द पूजा  के सबसे समान है?","['पूजा ', 'पाषाण', 'पापा', 'पद']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द द्वारा के सबसे समान है?","['द्वारा', 'स्नाना', 'भ्राता', 'श्रेष्ठ']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द अमृत  के सबसे समान है?","['अमृता', 'अमृतम्', 'जमातृ', 'अभियोजनम्']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द अछूत के सबसे समान है?","['अछूत', 'असित', 'अंत', 'वर्णित']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द संबंध के सबसे समान है?","['संबंध', 'अंध', 'बहि', 'पूजा ']"
