Key,Value
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति अग्नि","['मेरी', 'साथ', 'पद', 'आग']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति न","['नदी', 'बाहर', 'साथ', 'नहीं']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति सह","['साथ', 'भाग', 'भाग', 'साथ']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति माता","['माँ', 'मेरी', 'पथ', 'मां']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति नदी","['नदी', 'कभी', 'पद', 'नदी']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति वन","['अंधे', 'अकेला', 'जाती', 'जंगल']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति क्षेत्र","['क्षेत्र', 'श्रेष्ठ', 'रात', 'क्षेत्र']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति वानरः","['वानर', 'बिना', 'जंगल', 'वानर']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति विना","['बिना', 'बाहर', 'जाती', 'बिना']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति महत्त्व","['महत्व', 'माँ', 'तुम', 'महत्व']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति भाग","['भाग', 'भाग', 'भाग्य', 'साथ']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति निन्दा","['निन्दा', 'निन्दा', 'मित्र', 'भाग']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति उज्ज्वल","['उज्ज्वल', 'तुम', 'दो', 'निन्दा']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति अज्ञात","['अज्ञात', 'जमाई', 'अमरता', 'उज्ज्वल']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति हेडलाइट्","['हेडलाइट', 'विलाप', 'तारा', 'भाग']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति सप्त","['माँ', 'साथ', 'असिता', 'निन्दा']"
त्वं हिन्दी न जानासि, कथयतु यत् निम्नलिखितयोः कस्य अर्थः समानः अस्ति दुष्टात्मा","['दुष्टात्मा', 'भाई', 'द्वारा', 'अज्ञात']"
